,Model,Displ,Fuel,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,CityKML,HwyKML,CmbKML
380,PORSCHE Cayman,2.0,Gasoline,21.0,28.0,24.0,5,8.92794,11.903920000000001,10.20336
381,PORSCHE Cayman GTS,2.5,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
382,PORSCHE Cayman GTS,2.5,Gasoline,19.0,25.0,21.0,4,8.07766,10.6285,8.92794
383,PORSCHE Cayman S,2.5,Gasoline,21.0,28.0,24.0,5,8.92794,11.903920000000001,10.20336
384,PORSCHE Cayman S,2.5,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
385,PORSCHE Panamera GTS,4.0,Gasoline,16.0,23.0,19.0,3,6.80224,9.778220000000001,8.07766
386,PORSCHE Panamera GTS ST,4.0,Gasoline,15.0,22.0,18.0,3,6.3771,9.35308,7.65252
387,PORSCHE Panamera Turbo,4.0,Gasoline,18.0,25.0,21.0,4,7.65252,10.6285,8.92794
388,PORSCHE Panamera Turbo Executive,4.0,Gasoline,18.0,25.0,21.0,4,7.65252,10.6285,8.92794
389,PORSCHE Panamera Turbo ST,4.0,Gasoline,18.0,23.0,20.0,4,7.65252,9.778220000000001,8.5028
390,ROLLS-ROYCE Cullinan,6.7,Gasoline,12.0,20.0,14.0,1,5.10168,8.5028,5.951960000000001
391,ROLLS-ROYCE Dawn,6.6,Gasoline,12.0,18.0,14.0,1,5.10168,7.65252,5.951960000000001
392,ROLLS-ROYCE Ghost,6.6,Gasoline,12.0,18.0,14.0,1,5.10168,7.65252,5.951960000000001
393,ROLLS-ROYCE Ghost EWB,6.6,Gasoline,12.0,18.0,14.0,1,5.10168,7.65252,5.951960000000001
394,ROLLS-ROYCE Phantom,6.7,Gasoline,12.0,20.0,14.0,1,5.10168,8.5028,5.951960000000001
395,ROLLS-ROYCE Phantom EWB,6.7,Gasoline,12.0,20.0,14.0,1,5.10168,8.5028,5.951960000000001
396,ROLLS-ROYCE Wraith,6.6,Gasoline,12.0,18.0,14.0,1,5.10168,7.65252,5.951960000000001
